ID,Name,NetWorth_Billions,x,y,z,vx,vy,vz,industries,connections,velocity_mode,velocity_scale,hue color value
50,Henry Samueli,33.992162208,-0.67376494,1.0917823,-0.5491553,0.005967287794130463,-0.033317299851008474,0.015053506025080224,semiconductors/hardware,7,radial,0.05,1.2610606
51,Alain Wertheimer,33.566195263,-1.2911689,2.0140533,-0.19647238,0.01540273346134369,-0.0051439485588199475,0.020129752334513553,luxury/fashion,52,radial,0.05,0.9080228
52,Gerard Wertheimer,33.566195263,0.06033267,1.5627013,1.569798,0.0,0.0,0.0,luxury/fashion,,radial,0.05,0.9080228
53,William Ding,33.055034929,1.7876325,0.9378035,-0.7346586,-0.017157656205747683,0.016988596968797818,-0.017501206743227863,Online games,1335/39/1784/206,radial,0.05,0.5171643
54,Jean-Louis van der Velde,32.373487817,1.1562157,0.66162956,-0.6311387,-0.021647475476402583,0.003301340133152865,0.0295542303159232,cryptocurrency/fintech,345/249/22/783/55/107,radial,0.05,0.86932945
55,Paolo Ardoino,32.373487817,0.58672994,0.9944262,1.0017605,-0.021766367848076867,-0.01290074432543532,-0.02669757661839001,cryptocurrency/fintech,345/249/22/54/783/107,radial,0.05,0.86932945
56,Savitri Jindal & family,31.947520872,1.2352309,1.2372549,-0.14674708,-0.021489075585340498,-0.003519912426475198,0.016842874905340564,mining/materials,1183/1038/80/1403/371,radial,0.05,0.8420775
57,Alexey Mordashov & family,31.436360538,0.2828908,1.2408803,1.1075544,-0.00682533731094395,-0.00048666190507453327,-0.01896241120824299,investment/finance/mining/materials,1438/2384/362/1281,radial,0.05,1.5244248
58,Miriam Adelson & family,30.669620037,-1.153983,1.0756723,-0.5907879,0.016304710744263613,0.0012074929084550177,0.008525486006310194,gambling/entertainment,523/2364/990,radial,0.05,1.8096282
59,Idan Ofer,30.243653093,-1.1682811,1.205299,0.83258367,0.03486012260318642,0.0031020942224255815,-0.0005166852830057237,logistics/shipping,62/125/48/44,radial,0.05,0.7081293
60,Pham Nhat Vuong,30.073266315,0.77860713,0.3244709,0.067872494,-0.007396754941023754,-0.03447982799501742,0.003989894879751032,Diversified,3110/36/20/1115/1547,radial,0.05,0.8902763
61,Len Blavatnik,29.64729937,-0.3882938,0.50223815,0.121059366,-0.018770902524080667,0.003217954749032557,-0.006958643828518403,media/entertainment,1513/199,radial,0.05,1.8096282
62,Eyal Ofer,29.64729937,-0.27992612,1.1531637,0.8855829,-0.027300780009939664,0.002085893308011858,-0.0020523754753565206,real estate/logistics/shipping,1776/1064/59/525,radial,0.05,1.5629902
63,He Xiangjian & family,29.64729937,0.89417183,0.12006608,-0.67365825,0.005946019365563334,0.004325100803248375,0.005910250405379155,Home appliances,2360/2967,radial,0.05,1.3621062
64,Thomas Frist Jr & family,29.050945647,-2.0399945,0.7573155,-0.6422507,0.013780006788543143,0.0017405729657357055,0.0016431374224158846,healthcare,587,radial,0.05,2.0075605
65,Colin Huang,28.965752258,1.2880725,0.74279535,-1.06334,0.0009390905031746349,0.015051094394745694,0.02354464184176365,e-commerce/retail,86/234/1242/443,radial,0.05,0.59320146
66,Chen Tianshi,28.710172091,0.7169622,1.0224254,-0.48578084,-0.03786872684847866,-0.0031971944108528235,-0.008327673472089483,semiconductors/hardware,50/6/454/1577,radial,0.05,1.2610606
67,Eduardo Saverin,28.369398535,1.9238166,-0.32231557,-0.2246368,-0.034136328870140696,0.01736568972985946,0.0006718996132236421,social media/advertising/ai,346/1205/5/1783,radial,0.05,1.3075284
68,Jay Y. Lee,28.284205146,0.5617135,0.31869853,-0.36129203,-0.013852834067872424,0.01972005467362973,0.006818813219954295,electronics/semiconductors/manufacturing,284/261/269,radial,0.05,0.98371035
69,MacKenzie Scott,28.199011757,-0.27493277,0.8002486,-0.58526206,-0.02219472167910758,-0.0019149381457232233,0.03440662258252414,e-commerce/cloud/logistics,266/3/109/260,radial,0.05,1.5939332
70,Marilyn Simons & family,27.687851423,-0.9088013,0.67172563,0.21813133,-0.00606944855240476,-0.030947688318737086,0.00965241176949563,hedge funds/finance,3139/115/452/34/120,radial,0.05,1.5244248
71,Lyndal Stephens Greth & family,27.602658034,-0.81751764,0.37953657,-0.25455776,-0.017523977492450996,0.009021172875706633,0.01828588283637988,energy/oil and gas,134/244/245,radial,0.05,1.2296851
